t_ms,mx,my,mz,B
19712,-348,-207,-1000,1078.87
19812,-350,-208,-998,1077.85
19912,-350,-207,-1001,1080.44
20012,-350,-208,-999,1078.78
20112,-350,-207,-1000,1079.51
20212,-350,-207,-999,1078.59
20312,-350,-208,-999,1078.78
20412,-349,-206,-1001,1079.93
20512,-350,-207,-998,1077.66
20612,-350,-207,-999,1078.59
20712,-349,-207,-1000,1079.19
20812,-350,-208,-999,1078.78
20912,-350,-208,-999,1078.78
21012,-350,-207,-998,1077.66
21112,-349,-206,-1000,1079.00
21212,-350,-208,-999,1078.78
21312,-349,-206,-1001,1079.93
21412,-350,-207,-999,1078.59
21512,-350,-207,-999,1078.59
21612,-350,-207,-999,1078.59
21712,-350,-208,-998,1077.85
21812,-350,-208,-999,1078.78
21912,-350,-208,-998,1077.85
22012,-349,-208,-1001,1080.31
22112,-350,-207,-1000,1079.51
22212,-349,-207,-1000,1079.19
22312,-350,-207,-1001,1080.44
22412,-350,-207,-999,1078.59
22512,-350,-207,-1000,1079.51
22612,-351,-209,-999,1079.30
22712,-350,-207,-1000,1079.51
22812,-350,-207,-1000,1079.51
22912,-349,-208,-999,1078.46
23012,-349,-207,-1000,1079.19
23112,-350,-207,-998,1077.66
23212,-350,-207,-1000,1079.51
23312,-350,-208,-999,1078.78
23412,-351,-207,-1000,1079.84
23512,-350,-207,-999,1078.59
23612,-351,-208,-999,1079.10
23712,-349,-208,-1000,1079.38
23812,-350,-207,-1000,1079.51
23912,-349,-207,-1000,1079.19
24012,-350,-207,-999,1078.59
24112,-351,-209,-1001,1081.15
24212,-350,-207,-1000,1079.51
24312,-350,-209,-999,1078.97
24412,-349,-208,-1001,1080.31
24512,-350,-207,-1000,1079.51
24612,-350,-207,-1001,1080.44
24712,-350,-208,-1000,1079.71
24812,-350,-207,-999,1078.59
24912,-349,-208,-1000,1079.38
25012,-351,-208,-999,1079.10
25112,-350,-209,-1000,1079.90
25212,-351,-208,-1000,1080.03
25312,-349,-209,-1001,1080.50
25412,-351,-208,-999,1079.10
25512,-351,-208,-999,1079.10
25612,-350,-209,-1000,1079.90
25712,-349,-207,-1001,1080.12
25812,-351,-207,-999,1078.91
25912,-350,-208,-1000,1079.71
26012,-351,-209,-1001,1081.15
26112,-350,-207,-1000,1079.51
26212,-349,-209,-999,1078.65
26312,-350,-208,-1000,1079.71
26412,-351,-208,-1000,1080.03
26512,-349,-207,-1002,1081.04
26612,-350,-208,-998,1077.85
26712,-350,-209,-1000,1079.90
26812,-350,-208,-1000,1079.71
26912,-350,-208,-1000,1079.71
27012,-351,-208,-1000,1080.03
27112,-349,-208,-1000,1079.38
27212,-350,-209,-1000,1079.90
27312,-351,-209,-1000,1080.22
27412,-350,-209,-999,1078.97
27512,-349,-207,-999,1078.26
27612,-351,-209,-999,1079.30
27712,-349,-208,-1001,1080.31
27812,-350,-207,-998,1077.66
27912,-349,-208,-1001,1080.31
28012,-350,-208,-999,1078.78
28112,-351,-208,-1000,1080.03
28212,-350,-209,-1000,1079.90
28312,-351,-209,-1000,1080.22
28412,-350,-208,-1001,1080.63
28512,-349,-208,-998,1077.53
28612,-351,-209,-1000,1080.22
28712,-351,-207,-1000,1079.84
28812,-349,-209,-999,1078.65
28912,-350,-208,-1000,1079.71
29012,-350,-208,-999,1078.78
29112,-349,-208,-1000,1079.38
29212,-350,-208,-999,1078.78
29312,-349,-208,-1001,1080.31
29412,-349,-207,-999,1078.26
29512,-350,-208,-1000,1079.71
29612,-350,-208,-1000,1079.71
29712,-351,-209,-999,1079.30
29812,-350,-208,-1000,1079.71
29912,-350,-208,-999,1078.78
30012,-350,-208,-1001,1080.63
30112,-350,-208,-999,1078.78
30212,-349,-208,-1000,1079.38
30312,-350,-207,-1000,1079.51
30412,-350,-210,-1000,1080.09
30512,-351,-208,-1000,1080.03
30612,-350,-208,-998,1077.85
30712,-350,-207,-999,1078.59
30812,-349,-207,-1001,1080.12
30912,-351,-209,-999,1079.30
